module_group,avg_total_l2,avg_ratio,ratio_std,avg_ma_total,avg_std_total,avg_sparsity,avg_heavy_tail,stability_ratio,recommended_bits,rationale
image_encoder.neck.convs.0,0.003518914679459514,0.0012377400718125214,0.0004004407950744184,0.003518759172813998,0.0011184657012571662,0.956230423126571,14736.422226068507,0.31785798525186204,32,Extreme gradient-to-weight scaling
image_encoder.neck.convs.1,0.018458859804250886,0.0024835277527931678,0.0008365957402920612,0.018454707808623357,0.006260995334974735,0.9570013965588273,38102.60754146385,0.33926277239941727,32,Extreme gradient-to-weight scaling
image_encoder.neck.convs.2,0.0007241206853979312,0.00015285377599594428,9.208440743377236e-05,0.000735005955865884,0.00041961009563786346,0.9492338730098776,53267.79281753959,0.5708934632285203,32,Extreme gradient-to-weight scaling
image_encoder.neck.convs.3,0.0012401743345178504,0.00046961424538465127,0.0003151047864854635,0.0012615623945408862,0.0007924099141259811,0.9799045678414722,31077.039689441044,0.6281178937759624,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.0,0.04592777491734523,0.000800930727126929,0.00013034552017042214,0.04608284096278492,0.0066476965746711655,0.9596881038464965,51890.3371027944,0.14425535483022064,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.1,0.024018585280462346,0.0004989385960563885,0.00010823904261432065,0.02414512731895403,0.0048079945930549275,0.9463238621077398,24635.91618899335,0.19912898074803817,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.10,0.022481418256209352,0.00017067569972977262,4.042768313080138e-05,0.022619758452658446,0.00512904108564793,0.9620915794849233,58019.903875859214,0.22675047995683287,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.11,0.025533136284336608,0.00019536406661889503,4.571948285308383e-05,0.025656403235106772,0.005747815987826437,0.9618533818040491,45137.167817210684,0.22403046659172593,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.12,0.025614423445374443,0.00018779669244240528,4.4672687229241296e-05,0.025685212028237082,0.005801797648334143,0.9625760444311723,72292.59782022545,0.22588085478741338,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.13,0.021786789591270343,0.00017808455718416972,4.473271810685066e-05,0.021864008775735896,0.005321603469377576,0.9624100755833571,69203.99421570924,0.24339559702717245,32,Extreme gradient-to-weight scaling
