step,total_l2_norm,mean_l2_norm,median_l2_norm,active_parameters,ratio_mean,ratio_rms_mean
100,0.9415203827349359,0.0015384319979329017,0.00038983282865956426,612,0.0006153443309328602,0.0006153443309328602
200,1.0724723694742835,0.0017524058324743194,0.0004757016140501946,612,0.0007385241321898043,0.0007385241321898043
300,1.013182874264018,0.001655527572326827,0.0003918298170901835,612,0.0009048912091978593,0.0009048912091978596
400,1.1272733680582405,0.0018449645958400008,0.0004919028142467141,611,0.005546790524600781,0.005546790524600781
500,0.8619355979486727,0.0014106965596541287,0.0003631773288361728,611,0.005070769715961922,0.005070769715961922
600,0.6210486894805332,0.0010147854403276685,0.00021497174020623788,612,0.0003613270347467261,0.0003613270347467261
700,0.9268011016607325,0.0015143808850665564,0.000367832399206236,612,0.0007622655670495507,0.0007622655670495508
800,0.9373710508943702,0.0015341588394343212,0.0002816354390233755,611,0.0076981916399118345,0.0076981916399118345
900,0.9995691399829045,0.0016332829084687982,0.000426091966801323,612,0.0009732173679163545,0.0009732173679163544
1000,1.0442569107604598,0.0017090947802953515,0.0004463377990759909,611,0.006113530846272423,0.006113530846272423
1100,0.9243745666272982,0.0015128879977533522,0.00023273201077245176,611,0.0037846828362389762,0.0037846828362389762
1200,1.0023667692185185,0.0016378541980694747,0.0004930236027576029,612,0.0009423677359749359,0.0009423677359749359
1300,0.8817526638082782,0.0014407723264841148,0.0003471964009804651,612,0.0005494296277457278,0.0005494296277457278
1400,0.7078200086337105,0.0011565686415583505,0.0002574417449068278,612,0.0005542700783885526,0.0005542700783885526
1500,1.0021303945034017,0.0016374679648748394,0.000339752557920292,612,0.0005133054400414051,0.0005133054400414051
1600,0.730510409791151,0.0011955980520313436,0.00017433283210266382,611,0.005011031979549767,0.005011031979549767
1700,1.0790328512544711,0.0017660112131824405,0.00045832947944290936,611,0.006173401774376489,0.006173401774376489
1800,0.9962291343705159,0.0016278253829583593,0.0003839427954517305,612,0.000945824463665517,0.000945824463665517
1900,0.9312123960745176,0.001521588882474702,0.00033748720306903124,612,0.0006408053855453062,0.0006408053855453062
2000,0.9437607022516161,0.0015446165339633652,0.00037629285361617804,611,0.007492419293648084,0.007492419293648084
2100,0.8407451847494727,0.001376015032323196,0.00031849168590269983,611,0.006790952798970827,0.006790952798970827
2200,0.7740576581020591,0.0012648000949380051,0.0002993216476170346,612,0.0006141563704681988,0.0006141563704681988
2300,0.9885153422228541,0.0016178647172223472,0.0003015248221345246,611,0.004803969536376574,0.004803969536376574
2400,1.0098495099497526,0.0016527815220126884,0.00044119299855083227,611,0.004410443216322405,0.004410443216322405
2500,0.8970666199509978,0.0014657951306388853,0.0003346469165990129,612,0.00047344182725500024,0.00047344182725500024
2600,0.8452779000077548,0.0013811730392283576,0.0003075767162954435,612,0.0004381353040055432,0.0004381353040055432
